,symbol,date,isEnabled
241,AIRR,2020-04-09,True
242,AIRT,2020-04-09,True
243,AIRTP,2020-04-09,True
244,AIRTW,2020-04-09,True
245,AIT,2020-04-09,True
246,AIV,2020-04-09,True
247,AIW,2020-04-09,True
248,AIZ,2020-04-09,True
249,AIZP,2020-04-09,True
250,AJG,2020-04-09,True
251,AJRD,2020-04-09,True
252,AJX,2020-04-09,True
253,AJXA,2020-04-09,True
254,AKAM,2020-04-09,True
255,AKBA,2020-04-09,True
256,AKCA,2020-04-09,True
257,AKER,2020-04-09,True
258,AKG,2020-04-09,True
259,AKO.A,2020-04-09,True
260,AKO.B,2020-04-09,True
261,AKR,2020-04-09,True
262,AKRO,2020-04-09,True
263,AKRX,2020-04-09,True
264,AKTS,2020-04-09,True
265,AKTX,2020-04-09,True
266,AL,2020-04-09,True
267,AL-A,2020-04-09,True
268,ALAC,2020-04-09,True
269,ALACR,2020-04-09,True
270,ALACU,2020-04-09,True
271,ALACW,2020-04-09,True
272,ALB,2020-04-09,True
273,ALBO,2020-04-09,True
274,ALC,2020-04-09,True
275,ALCO,2020-04-09,True
276,ALDX,2020-04-09,True
277,ALE,2020-04-09,True
278,ALEC,2020-04-09,True
279,ALEX,2020-04-09,True
280,ALFA,2020-04-09,True
281,ALG,2020-04-09,True
282,ALGN,2020-04-09,True
283,ALGR,2020-04-09,True
284,ALGRR,2020-04-09,True
285,ALGRU,2020-04-09,True
286,ALGRW,2020-04-09,True
287,ALGT,2020-04-09,True
288,ALIM,2020-04-09,True
289,ALIN-A,2020-04-09,True
290,ALIN-B,2020-04-09,True
291,ALIN-E,2020-04-09,True
292,ALJJ,2020-04-09,True
293,ALK,2020-04-09,True
294,ALKS,2020-04-09,True
295,ALL,2020-04-09,True
296,ALL-B,2020-04-09,True
297,ALL-G,2020-04-09,True
298,ALL-H,2020-04-09,True
299,ALL-I,2020-04-09,True
300,ALLE,2020-04-09,True
301,ALLK,2020-04-09,True
302,ALLO,2020-04-09,True
303,ALLT,2020-04-09,True
304,ALLY,2020-04-09,True
305,ALLY-A,2020-04-09,True
306,ALNA,2020-04-09,True
307,ALNY,2020-04-09,True
308,ALO,2020-04-09,True
309,ALOT,2020-04-09,True
310,ALP-Q,2020-04-09,True
311,ALPN,2020-04-09,True
312,ALRM,2020-04-09,True
313,ALRN,2020-04-09,True
314,ALRS,2020-04-09,True
315,ALSK,2020-04-09,True
316,ALSN,2020-04-09,True
317,ALT,2020-04-09,True
318,ALTG,2020-04-09,True
319,ALTG+,2020-04-09,True
320,ALTM,2020-04-09,True
321,ALTR,2020-04-09,True
322,ALTS,2020-04-09,True
323,ALTY,2020-04-09,True
324,ALUS,2020-04-09,True
325,ALUS+,2020-04-09,True
326,ALUS=,2020-04-09,True
327,ALV,2020-04-09,True
328,ALX,2020-04-09,True
329,ALXN,2020-04-09,True
330,ALYA,2020-04-09,True
331,AM,2020-04-09,True
332,AMAG,2020-04-09,True
333,AMAL,2020-04-09,True
334,AMAT,2020-04-09,True
335,AMBA,2020-04-09,True
336,AMBC,2020-04-09,True
337,AMBC+,2020-04-09,True
338,AMBO,2020-04-09,True
339,AMC,2020-04-09,True
340,AMCA,2020-04-09,True
341,AMCI,2020-04-09,True
342,AMCIU,2020-04-09,True
343,AMCIW,2020-04-09,True
344,AMCR,2020-04-09,True
345,AMCX,2020-04-09,True
346,AMD,2020-04-09,True
347,AME,2020-04-09,True
348,AMED,2020-04-09,True
349,AMEH,2020-04-09,True
350,AMG,2020-04-09,True
351,AMGN,2020-04-09,True
352,AMH,2020-04-09,True
353,AMH-D,2020-04-09,True
354,AMH-E,2020-04-09,True
355,AMH-F,2020-04-09,True
356,AMH-G,2020-04-09,True
357,AMH-H,2020-04-09,True
358,AMHC,2020-04-09,True
359,AMHCU,2020-04-09,True
360,AMHCW,2020-04-09,True
361,AMJ,2020-04-09,True
362,AMK,2020-04-09,True
363,AMKR,2020-04-09,True
364,AMLP,2020-04-09,True
365,AMN,2020-04-09,True
366,AMNB,2020-04-09,True
367,AMOM,2020-04-09,True
368,AMOT,2020-04-09,True
369,AMOV,2020-04-09,True
370,AMP,2020-04-09,True
371,AMPE,2020-04-09,True
372,AMPH,2020-04-09,True
373,AMPY,2020-04-09,True
374,AMRB,2020-04-09,True
375,AMRC,2020-04-09,True
376,AMRH,2020-04-09,True
377,AMRHW,2020-04-09,True
378,AMRK,2020-04-09,True
379,AMRN,2020-04-09,True
380,AMRS,2020-04-09,True
381,AMRX,2020-04-09,True
382,AMS,2020-04-09,True
383,AMSC,2020-04-09,True
384,AMSF,2020-04-09,True
385,AMSWA,2020-04-09,True
386,AMT,2020-04-09,True
387,AMTB,2020-04-09,True
388,AMTBB,2020-04-09,True
389,AMTD,2020-04-09,True
